Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Race and Ethnicity,Black NH,s,Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Race and Ethnicity,Hispanic,0.2* (0.0 - 0.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Race and Ethnicity,Other NH,0.4* (-0.1 - 0.9),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Race and Ethnicity,White NH,0.3 (0.2 - 0.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Region,NYS Excl NYC,0.3 (0.2 - 0.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Region,New York City,0.2 (0.1 - 0.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Sex,Female,0.1 (0.1 - 0.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Sex,Male,0.4 (0.2 - 0.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported heroin use in the past 12 months,2018,Total,New York State,0.3 (0.2 - 0.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Race and Ethnicity,Black NH,4.7 (2.9 - 6.5),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Race and Ethnicity,Hispanic,11.1 (8.9 - 13.3),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Race and Ethnicity,Other NH,4.3 (2.4 - 6.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Race and Ethnicity,White NH,3.8 (3.0 - 4.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Region,NYS Excl NYC,4.7 (3.8 - 5.6),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Region,New York City,6.0 (5.0 - 7.1),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Sex,Female,5.2 (4.3 - 6.2),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Sex,Male,5.4 (4.4 - 6.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2017,Total,New York State,5.3 (4.6 - 6.0),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Race and Ethnicity,Black NH,4.1 (2.8 - 5.4),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
Age-adjusted percentage of adults who have self-reported prescription pain medication misuse in the past 12 months,2018,Race and Ethnicity,Hispanic,8.3 (6.6 - 9.9),Data Source: The Behavioral Risk Factor Surveillance System as of September 2024
