Component Area,Indicator,Year,County/Region,Numerator,Numerator Label,Rate,Measure Unit,Direction ,Source,
Opioid Data Overview,"Overdose deaths involving any opioid, crude rate per 100,000 population",2022,NEW YORK CITY,"2,412",Deaths,28.9,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving any opioid, crude rate per 100,000 population",2022,Bronx,762,Deaths,55.1,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving any opioid, crude rate per 100,000 population",2022,New York,416,Deaths,26.1,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving any opioid, crude rate per 100,000 population",2022,Queens,452,Deaths,19.8,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving synthetic opioids other than methadone (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,NEW YORK CITY,"2,258",Deaths,27.1,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving synthetic opioids other than methadone (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Bronx,726,Deaths,52.5,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving synthetic opioids other than methadone (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,New York,376,Deaths,23.6,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving synthetic opioids other than methadone (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Queens,421,Deaths,18.5,Crude death rate,Lower rates/percentages are more desirable,Vital Statistics Data as of March 2025, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving any opioid overdose, crude rate per 100,000 population",2022,NEW YORK CITY,"6,777",Emergency Department Visits,81.3,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving any opioid overdose, crude rate per 100,000 population",2022,Bronx,"2,046",Emergency Department Visits,148.1,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving any opioid overdose, crude rate per 100,000 population",2022,New York,"1,688",Emergency Department Visits,105.9,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving any opioid overdose, crude rate per 100,000 population",2022,Queens,"1,012",Emergency Department Visits,44.4,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving heroin overdose, crude rate per 100,000 population",2022,NEW YORK CITY,"2,881",Emergency Department Visits,34.6,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving heroin overdose, crude rate per 100,000 population",2022,Bronx,865,Emergency Department Visits,62.6,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving heroin overdose, crude rate per 100,000 population",2022,New York,712,Emergency Department Visits,44.7,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"All emergency department visits (including outpatients and admitted patients) involving heroin overdose, crude rate per 100,000 population",2022,Queens,406,Emergency Department Visits,17.8,Crude ED visit rate,Lower rates/percentages are more desirable,SPARCS Data as of July 2024, 
Opioid Data Overview,"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2022,NEW YORK CITY,"24,252",Numerator,290.9,Crude rate,Lower rates/percentages are more desirable,Vital Statistics and SPARCS Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2022,Bronx,"7,522",Numerator,544.4,Crude rate,Lower rates/percentages are more desirable,Vital Statistics and SPARCS Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2022,New York,"5,890",Numerator,369.4,Crude rate,Lower rates/percentages are more desirable,Vital Statistics and SPARCS Data as of March 2025, 
Opioid Data Overview,"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2022,Queens,"3,662",Numerator,160.7,Crude rate,Lower rates/percentages are more desirable,Vital Statistics and SPARCS Data as of March 2025, 
Opioid Data Overview,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,NEW YORK CITY,"14,091",Numerator,7.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Opioid Data Overview,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Bronx,"3,559",Numerator,8.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Opioid Data Overview,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,New York,"4,133",Numerator,9.9,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
Opioid Data Overview,"Suspected opioid overdoses by EMS agencies, crude rate per 1,000 unique 911 EMS dispatches",2023,Queens,"2,151",Numerator,5.6,Crude rate,Lower rates/percentages are more desirable,NYS EMS Data as of September 2024, 
